lane_id,candidate_id,style_code,colour_code,model_name_candidate,scope_key,exclusive_objective,required_outputs,priority,status,non_overlap_rule
W003-L11,06495bb6-ab53-5aec-882f-62eba2bd4a98,J2333,297,geometric track jacket,J2333::297,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L12,d3a83143-87e9-5ca7-968f-83393cb76259,J2660,248,brentham jacket,J2660::248,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L13,a35deece-c203-5c1d-83a8-7f356ce52ca1,J2660,350,brentham jacket,J2660::350,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L14,3025f5c2-83c0-51e2-b62d-cc575cff8583,J3330,M37,crinkle harrington jacket,J3330::M37,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L15,16223aa8-0d80-5030-84c2-7f115790eca9,J4620,198,taped track jacket,J4620::198,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L16,a7dbf486-42e8-5cc0-8796-08f2ea50a064,J4620,885,taped track jacket,J4620::885,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L17,11249be3-beb7-56ad-8432-0ac6b1fd15c1,J7536,198,hooded zip through sweatshirt,J7536::198,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L18,2e67eb6d-175c-5b18-b092-c1134db12842,J7536,795,hooded zip through sweatshirt,J7536::795,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L19,eba2ad9c-db4b-5f74-ab2f-d54104694eac,J7536,87B,hooded zip through sweatshirt,J7536::87B,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L20,094e66c8-848b-5c12-86a9-d5c22d95daae,J7536,94B,hooded zip through sweatshirt,J7536::94B,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L21,0e04f246-4376-5127-b010-b49019fb0620,K1317,184,argyle knitted shirt,K1317::184,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L22,9c8d73f3-af8f-5adb-a74a-5248caec6ed6,K2328,644,geometric knitted shirt,K2328::644,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L23,b80995cd-d3c7-5518-ad3a-51f6279fa198,K2328,R30,geometric knitted shirt,K2328::R30,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L24,d403ed9c-3731-5f54-b7b1-2c6ba1521ca0,K2329,608,argyle button through shirt,K2329::608,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L25,da62cbef-4f94-5dfe-a18c-f9bb3767f63e,K3306,Q20,textured panel knitted shirt,K3306::Q20,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L26,e1e14603-a8e4-5f26-bec1-0ab9e132d358,K3310,28A,pointelle knitted shirt,K3310::28A,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L27,cd97b5d7-e444-5ef7-ae3d-ea3bc2788328,K3310,560,pointelle knitted shirt,K3310::560,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L28,8b335d0f-e204-5845-994f-3a31b711ec20,K9725,608,long staple cotton knitted shirt,K9725::608,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L29,86a2a12c-3620-5b29-b8b5-a1d2cecd70bd,K9725,Q20,cotton knitted shirt,K9725::Q20,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L30,64f3172f-e43f-5a92-ae98-803a1dde000d,K9748,102,cable knitted shirt,K9748::102,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L31,c6af13db-78a3-576c-82b5-8370911c51eb,L7255,81A,classic barrel bag,L7255::81A,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L32,31ffcc45-72ee-57dd-8383-87ef9126c76f,M1588,100,twin tipped t shirt,M1588::100,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L33,c778f1a0-f2d6-51e6-8c1a-d55cd58d5e3d,M1588,102,twin tipped t shirt,M1588::102,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L34,2fe38195-9d8c-5476-80df-adb5f1c636f8,M1588,795,twin tipped t shirt,M1588::795,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L35,3bcf4b53-0eb7-5c4e-89fd-90168b2e5132,M1701,608,bedford cord overshirt,M1701::608,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L36,3b394656-b811-5f65-ab27-c311ed69c77f,M1723,184,brushed twill overshirt,M1723::184,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L37,b5e118c7-3708-58d6-ae65-e33b6d02a2ce,M2395,608,pocket detail pique t shirt,M2395::608,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L38,790cc74b-a675-5004-84ad-0ef03bc90ad0,M2396,28A,twin tipped cuff t shirt,M2396::28A,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L39,1ece6c4a-9a47-5e34-a2c9-8ff9ed8ce782,M2396,297,twin tipped cuff t shirt,M2396::297,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L40,db239e88-d3a4-515d-9e0d-c75516cc1d09,M2396,608,twin tipped cuff t shirt,M2396::608,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L41,cf640234-41d9-56e3-b51b-e43851147c22,M2396,91B,twin tipped cuff t shirt,M2396::91B,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
